mn_tbl,spc_tbl,spc_ltx_tbl,cat_tbl,mt_tbl,freq_tbl,freq_rs_tbl,EU_K_tbl,aij_tbl,qn_tbl,peak_tbl,peak_val,intint_tbl,intint_val,nupper_deg_tbl,in_aces_tbl
carbonyl sulfide,OCS,$\mathrm{OCS}$,CDMS,60503,267.530219,267.49363122507003,147.66792608385134,-4.253858181497697,$22 – 21$,$0.19420451878730566 \pm 0.08000814156465604$,0.19420451878730566,$2.1447998132041333 \pm 0.18049682156127214$,2.1447998132041333,$118955116085.93546 1 / cm2 \pm 10010733976.094383 1 / cm2$,False
singly-deuterated formaldehyde,HDCO,$\mathrm{HDCO}$,CDMS,31501,268.29202000000004,268.25532804019093,40.166418243363424,-3.2937120854596325,"$4_{1,3} – 3_{1,2}$",$-0.05857495434017662 \pm 0.06447830134094622$,-0.05857495434017662,$0.137348420752472 \pm 0.14504877414356623$,0.137348420752472,$4198689519.561338 1 / cm2 \pm 4434086424.039571 1 / cm2$,False
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,269.604668,269.5686958251429,733.2764393348305,-3.1141959202137612,"$30_{22,9} – 29_{22,8}$",$0.07899613865997007 \pm 0.06447830134094622$,0.07899613865997007,$1.0463455786584202 \pm 0.1443425623992979$,1.0463455786584202,$3152107698.715964 1 / cm2 \pm 434830816.38723665 1 / cm2$,False
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,269.604668,269.5686958251429,733.2764393348305,-3.1141959202137612,"$30_{22,8} – 29_{22,7}$",$0.07899613865997007 \pm 0.06447830134094622$,0.07899613865997007,$1.0463455786584202 \pm 0.1443425623992979$,1.0463455786584202,$3152107698.715964 1 / cm2 \pm 434830816.38723665 1 / cm2$,False
thioformaldehyde,H2CS,$\mathrm{H_2CS}$,CDMS,46509,270.5219313,270.4849343746694,71.60265973693129,-3.5371121519185094,"$8_{1,8} – 7_{1,7}$",$1.152348048061293 \pm 0.07023638474032498$,1.152348048061293,$3.890305307717241 \pm 0.1520209460839634$,3.890305307717241,$37371077878.39608 1 / cm2 \pm 1460344668.5743186 1 / cm2$,False
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,271.17913189999996,271.14294965129244,39.83723139836798,-3.9600899139884933,"$7_{5,3} – 6_{4,2}$",$0.06574332533844265 \pm 0.07023638474032498$,0.06574332533844265,$0.013652979495302616 \pm 0.15631984418000466$,0.013652979495302616,$1186707342.0970247 1 / cm2 \pm 13587210532.88762 1 / cm2$,False
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,271.1791581,271.1429758477967,39.83723265576967,-3.9600898711254873,"$7_{5,2} – 6_{4,3}$",$0.054504700018376845 \pm 0.07023638474032498$,0.054504700018376845,$0.01365297817613534 \pm 0.15631982907619357$,0.01365297817613534,$1186707339.6206923 1 / cm2 \pm 13587210504.53484 1 / cm2$,False
cyanoacetylene,HC3N,$\mathrm{HC_3N}$,CDMS,51501,272.88474579999996,272.8474257331362,203.015381724662,-2.7905287832870855,$30 – 29$,$0.07975122464109011 \pm 0.07254080201662243$,0.07975122464109011,$0.8010503746894087 \pm 0.160439512350207$,0.8010503746894087,$1173335738.709337 1 / cm2 \pm 235003215.3902754 1 / cm2$,False
methylacetylene,CH3CCH,$\mathrm{CH_3CCH}$,CDMS,40502,273.2896515,273.2522760577148,292.09136203103486,-4.194655979181635,$16_5 – 15_5$,$-0.04146457188426669 \pm 0.07728547164001244$,-0.04146457188426669,$0.3239191688920277 \pm 0.17068011022896074$,0.3239191688920277,$11153214916.338585 1 / cm2 \pm 5876873412.0903425 1 / cm2$,False
methylacetylene,CH3CCH,$\mathrm{CH_3CCH}$,CDMS,40502,273.3365188,273.299136948083,227.11542608716346,-4.177850158474363,$16_4 – 15_4$,$0.10430336147274274 \pm 0.07728547164001244$,0.10430336147274274,$-0.034324764635869004 \pm 0.170650844777914$,-0.034324764635869004,$-1137402328.4360552 1 / cm2 \pm 5654770550.04037 1 / cm2$,False
methylacetylene,CH3CCH,$\mathrm{CH_3CCH}$,CDMS,40502,273.37299,273.335603160235,176.56301716153524,-4.165209258373518,$16_3 – 15_3$,$0.09427449509703192 \pm 0.07728547164001244$,0.09427449509703192,$0.7885483868707304 \pm 0.16553355011810938$,0.7885483868707304,$12693456080.538586 1 / cm2 \pm 2664634007.5822268 1 / cm2$,False
methylacetylene,CH3CCH,$\mathrm{CH_3CCH}$,CDMS,40502,273.39905089999996,273.36166049611296,140.44578866536557,-4.156426436447153,$16_2 – 15_2$,$0.13380918819314988 \pm 0.07728547164001244$,0.13380918819314988,$0.10865402816671824 \pm 0.17061181334775216$,0.10865402816671824,$3428683061.5407987 1 / cm2 \pm 5383820962.685498 1 / cm2$,False
methylacetylene,CH3CCH,$\mathrm{CH_3CCH}$,CDMS,40502,273.4146916,273.37729905707084,118.77208502941895,-4.151179609929302,$16_1 – 15_1$,$0.06232333021727984 \pm 0.07728547164001244$,0.06232333021727984,$0.3769724121905881 \pm 0.17060205349206484$,0.3769724121905881,$11754223420.555496 1 / cm2 \pm 5319473223.779202 1 / cm2$,False
methylacetylene,CH3CCH,$\mathrm{CH_3CCH}$,CDMS,40502,273.41990580000004,273.3825125439702,111.5469416704143,-4.149431500223611,$16_0 – 15_0$,$0.001983621292992205 \pm 0.07728547164001244$,0.001983621292992205,$0.3236161415666204 \pm 0.17059880006188627$,0.3236161415666204,$10050392045.8998 1 / cm2 \pm 5298205506.319168 1 / cm2$,False
thioformaldehyde,H2CS,$\mathrm{H_2CS}$,CDMS,46509,274.521931,274.4843870295943,59.31511044306235,-3.5112452405720624,"$8_{0,8} – 7_{0,7}$",$0.3611345950257685 \pm 0.07728547164001244$,0.3611345950257685,$1.3403895164130073 \pm 0.16991395795488987$,1.3403895164130073,$37478865480.60532 1 / cm2 \pm 4750993868.193126 1 / cm2$,False
thioformaldehyde,H2CS,$\mathrm{H_2CS}$,CDMS,46509,274.7033499,274.66578111851345,112.00002846085289,-3.5383916291668536,"$8_{2,7} – 7_{2,6}$",$-0.05678757568547718 \pm 0.07728547164001244$,-0.05678757568547718,$-0.32951610882120136 \pm 0.16980174380717555$,-0.32951610882120136,$-9820922263.473356 1 / cm2 \pm 5060783620.254969 1 / cm2$,False
thioformaldehyde,H2CS,$\mathrm{H_2CS}$,CDMS,46509,274.7329757,274.69540286685117,177.78132197067288,-3.576034141725233,"$8_{3,6} – 7_{3,5}$",$0.051443941717427694 \pm 0.07728547164001244$,0.051443941717427694,$0.7213758707427895 \pm 0.1647141244189941$,0.7213758707427895,$7817216887.608024 1 / cm2 \pm 1784930834.6145568 1 / cm2$,False
thioformaldehyde,H2CS,$\mathrm{H_2CS}$,CDMS,46509,274.7343994,274.69682637214413,177.78153417518428,-3.5760316337722555,"$8_{3,5} – 7_{3,4}$",$0.15166868488108728 \pm 0.07728547164001244$,0.15166868488108728,$0.7069842404633664 \pm 0.16978255341957738$,0.7069842404633664,$7661296603.162391 1 / cm2 \pm 1839863500.970141 1 / cm2$,False
formaldehyde,H213CO,$\mathrm{H_2^{13}CO}$,CDMS,31503,274.762112,274.72545168988637,44.802328612353925,-3.261999142937735,"$4_{1,4} – 3_{1,3}$",$0.06490695958717499 \pm 0.07728547164001244$,0.06490695958717499,$0.8318930559578928 \pm 0.16976542909603104$,0.8318930559578928,$8264594959.425386 1 / cm2 \pm 1686565958.8613787 1 / cm2$,False
