mn_tbl,spc_tbl,spc_ltx_tbl,cat_tbl,mt_tbl,freq_tbl,freq_rs_tbl,EU_K_tbl,aij_tbl,qn_tbl,peak_tbl,peak_val,intint_tbl,intint_val,nupper_deg_tbl,in_aces_tbl
thioxoethenylidene,CCS,$\mathrm{CCS}$,CDMS,56502,113.41019,113.39505817303456,33.58113395909864,-4.184799880496076,$9_8 – 8_7$,$0.052040629476651806 \pm 0.03685005285364174$,0.052040629476651806,$0.33728976587120446 \pm 0.16474421190300367$,0.33728976587120446,$7590375885.134554 1 / cm2 \pm 3707407160.766192 1 / cm2$,False
thioxoethenylidene,CCS,$\mathrm{CCS}$,CDMS,56502,113.41019,113.40565045191038,33.58113395909864,-4.184799880496076,$9_8 – 8_7$,$0.09766833593596744 \pm 0.03685005285364174$,0.09766833593596744,$0.4746368585554392 \pm 0.19023023017885485$,0.4746368585554392,$10681237706.900723 1 / cm2 \pm 4280945044.5186095 1 / cm2$,False
cyanodiacetylene,HC5N,$\mathrm{HC_5N}$,CDMS,75503,114.485033,114.48045042842644,120.88201854910501,-3.790944981088719,$43 – 42$,$0.09680552645989872 \pm 0.057485259454440885$,0.09680552645989872,$0.6471648834698749 \pm 0.2939688263663304$,0.6471648834698749,$390320937.9521857 1 / cm2 \pm 177299774.7047109 1 / cm2$,False
cyanoacetylene,H13CCCN,$\mathrm{H^{13}CCCN}$,CDMS,52509,114.614995,114.59970242115867,38.50533051239027,-3.929938481880883,$13 – 12$,$0.06747883935238957 \pm 0.057485259454440885$,0.06747883935238957,$0.39451609484647604 \pm 0.2936354949677407$,0.39451609484647604,$3174880087.632903 1 / cm2 \pm 2363040439.0930986 1 / cm2$,False
cyanoacetylene,H13CCCN,$\mathrm{H^{13}CCCN}$,CDMS,52509,114.614995,114.61002491187656,38.50533051239027,-3.929938481880883,$13 – 12$,$0.16353647125467988 \pm 0.057485259454440885$,0.16353647125467988,$1.0116441065406563 \pm 0.2542957980948813$,1.0116441065406563,$8141236242.533991 1 / cm2 \pm 2046453050.424559 1 / cm2$,False
cyanodiacetylene,HC5N,$\mathrm{HC_5N}$,CDMS,75503,125.13277120000001,125.12776242404742,144.13721426672083,-3.6746310373572153,$47 – 46$,$-0.0022480467741955506 \pm 0.04000229571323417$,-0.0022480467741955506,$0.28981185739153464 \pm 0.13236165248345055$,0.28981185739153464,$146301728.4204351 1 / cm2 \pm 66818310.020877145 1 / cm2$,False
formamide,HC(O)NH2,$\mathrm{HC(O)NH_2}$,CDMS,45512,126.247658,126.23081332567534,21.277738281337687,-3.8502823366939127,"$6_{0,6} – 5_{0,5}$",$0.2642462525911923 \pm 0.04000229571323417$,0.2642462525911923,$1.4316220000579345 \pm 0.1311927733012101$,1.4316220000579345,$24166792483.87823 1 / cm2 \pm 2214626855.152073 1 / cm2$,False
formamide,HC(O)NH2,$\mathrm{HC(O)NH_2}$,CDMS,45512,126.247658,126.24218348084449,21.277738281337687,-3.8502823366939127,"$6_{0,6} – 5_{0,5}$",$0.21863940817980093 \pm 0.04000229571323417$,0.21863940817980093,$2.0280825932022104 \pm 0.13119277330073936$,2.0280825932022104,$34235469396.321114 1 / cm2 \pm 2214626855.144127 1 / cm2$,False
sulfur monoxide,34SO,$\mathrm{^{34}SO}$,CDMS,50501,126.61393,126.59703645560002,25.309360175475586,-4.673554969975065,$3_3 – 2_2$,$0.04158121334566698 \pm 0.04000229571323417$,0.04158121334566698,$0.20734459457641852 \pm 0.13081325550616005$,0.20734459457641852,$43522880453.31686 1 / cm2 \pm 27458490985.66908 1 / cm2$,False
sulfur monoxide,34SO,$\mathrm{^{34}SO}$,CDMS,50501,126.61393,126.60886193668001,25.309360175475586,-4.673554969975065,$3_3 – 2_2$,$0.051478583046098134 \pm 0.04000229571323417$,0.051478583046098134,$0.3181579963368291 \pm 0.13081325550663078$,0.3181579963368291,$66783281561.416145 1 / cm2 \pm 27458490985.76789 1 / cm2$,False
