mn_tbl,spc_tbl,spc_ltx_tbl,cat_tbl,mt_tbl,freq_tbl,freq_rs_tbl,EU_K_tbl,aij_tbl,qn_tbl,peak_tbl,peak_val,intint_tbl,intint_val,nupper_deg_tbl,in_aces_tbl
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,108.1267202,108.12203146509326,18.757361717581915,-4.887039286474756,"$5_{1,5} – 4_{1,4}$",$0.11878820587493574 \pm 0.023933172379064213$,0.11878820587493574,$0.8951390169196354 \pm 0.1122254439751198$,0.8951390169196354,$142563435469.36288 1 / cm2 \pm 17873474999.698273 1 / cm2$,False
cyanide radical,13CN,$\mathrm{^{13}CN}$,CDMS,27505,108.41286199999999,108.40852248341349,5.230477408533404,-5.50331319670681,"$1_{1,0} – 0_{1,1}$",$0.011269734932922527 \pm 0.023933172379064213$,0.011269734932922527,$0.16527199516642316 \pm 0.11192923935490401$,0.16527199516642316,$401012430654.4783 1 / cm2 \pm 271582710003.708 1 / cm2$,False
cyanide radical,13CN,$\mathrm{^{13}CN}$,CDMS,27505,108.426889,108.42254892194508,5.230575087608305,-5.203057356434821,"$1_{1,0} – 0_{1,1}$",$0.05889377071011152 \pm 0.023933172379064213$,0.05889377071011152,$0.45890855490755167 \pm 0.1292280327725762$,0.45890855490755167,$557880593061.6542 1 / cm2 \pm 157098425802.67255 1 / cm2$,False
cyanide radical,13CN,$\mathrm{^{13}CN}$,CDMS,27505,108.636923,108.63257451476893,5.213750002195694,-5.017248572948198,"$1_{1,1} – 0_{1,0}$",$0.10209115297787713 \pm 0.023933172379064213$,0.10209115297787713,$0.7955505726684706 \pm 0.12897818879773795$,0.7955505726684706,$632929047640.067 1 / cm2 \pm 102613265588.22345 1 / cm2$,False
cyanide radical,13CN,$\mathrm{^{13}CN}$,CDMS,27505,108.65129700000001,108.64694793941091,5.214439845395061,-5.009539365964904,"$1_{1,1} – 0_{1,0}$",$0.1471370432698751 \pm 0.023933172379064213$,0.1471370432698751,$0.9829203808635713 \pm 0.11168361091875437$,0.9829203808635713,$461065403787.3299 1 / cm2 \pm 52388220009.68336 1 / cm2$,False
cyanoacetylene,HC13CCN,$\mathrm{HC^{13}CCN}$,CDMS,52510,108.71053200000001,108.70618056837061,33.91282423271903,-4.0002274811150675,$12 – 11$,$0.28143006317080366 \pm 0.023933172379064213$,0.28143006317080366,$1.9363321187989428 \pm 0.11162275592521098$,1.9363321187989428,$17799818259.52179 1 / cm2 \pm 1026097098.6362172 1 / cm2$,False
cyanoacetylene,HCC13CN,$\mathrm{HCC^{13}CN}$,CDMS,52511,108.72099899999999,108.71628449518413,33.916204123246516,-4.000081139395173,$12 – 11$,$0.19167333534389938 \pm 0.023933172379064213$,0.19167333534389938,$1.4000448366801994 \pm 0.11161200956172304$,1.4000448366801994,$12868115424.375757 1 / cm2 \pm 1025850161.4793996 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,108.75940480000001,108.75468862978069,6.298135348875278,-6.70474233680708,"$2_{1,2} – 1_{0,1}$",$0.04451143975452915 \pm 0.023933172379064213$,0.04451143975452915,$0.2549692387054446 \pm 0.128832937168691$,0.2549692387054446,$5940168551837.853 1 / cm2 \pm 3001496830346.924 1 / cm2$,False
cyanide radical,13CN,$\mathrm{^{13}CN}$,CDMS,27505,108.780201,108.77584677968136,5.247531389295676,-4.978809043436088,"$1_{2,2} – 0_{1,1}$",$0.14963050290651597 \pm 0.023933172379064213$,0.14963050290651597,$0.9327695394126325 \pm 0.11155126639195004$,0.9327695394126325,$291870415773.56354 1 / cm2 \pm 34905207691.91089 1 / cm2$,False
cyanide radical,13CN,$\mathrm{^{13}CN}$,CDMS,27505,108.8077879,108.80343257544143,5.248855351683082,-6.489721178478021,"$1_{2,2} – 0_{1,1}$",$0.005786124400215627 \pm 0.023933172379064213$,0.005786124400215627,$-0.11233643824249548 \pm 0.1287756495705364$,-0.11233643824249548,$-2661004076824.234 1 / cm2 \pm 3050412972531.4497 1 / cm2$,False
